experiment_id,status,phase,protocol,algorithm,training_seed,episodes,learning_rate,target_update_freq,target_update_unit,epsilon_start,epsilon_min,epsilon_decay,epsilon_decay_unit,replay_capacity,batch_size,gamma,training_env_seed_base,training_env_seed_last,training_action_space_seed,holdout_env_seed_base,holdout_env_seed_last,holdout_action_space_seed,mean_reward,solved_count,solved_rate_pct,low_score_count,low_score_rate_pct,mean_length,timeout_count,source_branch,source_commit,run_directory,error
deterministic-dueling-dqn-seed42,succeeded,completed,deterministic_harness,dueling_dqn,42,1000,0.0005,1000,learning_optimizer_updates,1.0,0.01,0.995,episode,10000,64,0.99,20042,21041,21042,30042,30043,40042,224.1384,112,74.67,3,2.0,317.17,15,experiment/deterministic-vanilla-search,d40997c6b974141b8ce9c915af5503711a55e882,/mnt/e/uni/ai/project/runs/dueling-d3qn-seed42-batch-suite-20260728T222305935637Z/deterministic-dueling-dqn-seed42-20260728T222305935637Z,
deterministic-d3qn-seed42,succeeded,completed,deterministic_harness,d3qn,42,1000,0.0005,1000,learning_optimizer_updates,1.0,0.01,0.995,episode,10000,64,0.99,20042,21041,21042,30042,30043,40042,208.2221,108,72.0,1,0.67,269.29,8,experiment/deterministic-vanilla-search,d40997c6b974141b8ce9c915af5503711a55e882,/mnt/e/uni/ai/project/runs/dueling-d3qn-seed42-batch-suite-20260728T222305935637Z/deterministic-d3qn-seed42-20260728T222305935637Z,
